category,group,sub_group,type,measurement,uom,exercise_key,exercise_measurement_key
Gym,Push,Upper Body,Incline Bench Press,Weight,kg,gym_push_incline-bench-press,gym_push_incline-bench-press_weight_kg
Gym,Push,Upper Body,Incline Bench Press,Reps,n,gym_push_incline-bench-press,gym_push_incline-bench-press_reps_n
Gym,Push,Upper Body,Dumbbell Shoulder Press,Weight,kg,gym_push_dumbbell-shoulder-press,gym_push_dumbbell-shoulder-press_weight_kg
Gym,Push,Upper Body,Dumbbell Shoulder Press,Reps,n,gym_push_dumbbell-shoulder-press,gym_push_dumbbell-shoulder-press_reps_n
Gym,Push,Upper Body,Cable Chest Fly,Weight,kg,gym_push_cable-chest-fly,gym_push_cable-chest-fly_weight_kg
Gym,Push,Upper Body,Cable Chest Fly,Reps,n,gym_push_cable-chest-fly,gym_push_cable-chest-fly_reps_n
Gym,Pull,Upper Body,Barbell Row,Weight,kg,gym_pull_barbell-row,gym_pull_barbell-row_weight_kg
Gym,Pull,Upper Body,Barbell Row,Reps,n,gym_pull_barbell-row,gym_pull_barbell-row_reps_n
Gym,Pull,Upper Body,Pull Up,Reps,n,gym_pull_pull-up,gym_pull_pull-up_reps_n
Gym,Pull,Upper Body,Face Pull,Weight,kg,gym_pull_face-pull,gym_pull_face-pull_weight_kg
Gym,Pull,Upper Body,Face Pull,Reps,n,gym_pull_face-pull,gym_pull_face-pull_reps_n
Gym,Legs,Legs,Front Squat,Weight,kg,gym_legs_front-squat,gym_legs_front-squat_weight_kg
Gym,Legs,Legs,Front Squat,Reps,n,gym_legs_front-squat,gym_legs_front-squat_reps_n
Gym,Legs,Legs,Hamstring Curl,Weight,kg,gym_legs_hamstring-curl,gym_legs_hamstring-curl_weight_kg
Gym,Legs,Legs,Hamstring Curl,Reps,n,gym_legs_hamstring-curl,gym_legs_hamstring-curl_reps_n
Running,Interval,Speed,Sprint Interval,Distance,m,running_interval_sprint-interval,running_interval_sprint-interval_distance_m
Running,Interval,Speed,Sprint Interval,Time,s,running_interval_sprint-interval,running_interval_sprint-interval_time_s
Running,Distance,Stamina,Long Run,Distance,km,running_distance_long-run,running_distance_long-run_distance_km
Running,Distance,Stamina,Long Run,Pace,min/km,running_distance_long-run,running_distance_long-run_pace_min-km
Cycling,Distance,Stamina,Road Ride,Distance,km,cycling_distance_road-ride,cycling_distance_road-ride_distance_km
Cycling,Distance,Stamina,Road Ride,Average Speed,km/h,cycling_distance_road-ride,cycling_distance_road-ride_average-speed_km-h
Cycling,Interval,Speed,Hill Repeats,Time,min,cycling_interval_hill-repeats,cycling_interval_hill-repeats_time_min
Cycling,Interval,Speed,Hill Repeats,Power,w,cycling_interval_hill-repeats,cycling_interval_hill-repeats_power_w
