primary_key,session_key,exercise_key,exercise_measurement_key,date,value
gym_push_bench_press_weight_kg_20260501,gym_push_bench_press_20260501,gym_push_bench_press,gym_push_bench_press_weight_kg,2026-05-01,80
gym_push_bench_press_weight_kg_20260508,gym_push_bench_press_20260508,gym_push_bench_press,gym_push_bench_press_weight_kg,2026-05-08,82.5
gym_push_bench_press_reps_n_20260501,gym_push_bench_press_20260501,gym_push_bench_press,gym_push_bench_press_reps_n,2026-05-01,8
gym_push_bench_press_reps_n_20260508,gym_push_bench_press_20260508,gym_push_bench_press,gym_push_bench_press_reps_n,2026-05-08,8
gym_push_incline_dumbbell_press_weight_kg_20260501,gym_push_incline_dumbbell_press_20260501,gym_push_incline_dumbbell_press,gym_push_incline_dumbbell_press_weight_kg,2026-05-01,26
gym_push_incline_dumbbell_press_weight_kg_20260508,gym_push_incline_dumbbell_press_20260508,gym_push_incline_dumbbell_press,gym_push_incline_dumbbell_press_weight_kg,2026-05-08,28
gym_push_incline_dumbbell_press_reps_n_20260501,gym_push_incline_dumbbell_press_20260501,gym_push_incline_dumbbell_press,gym_push_incline_dumbbell_press_reps_n,2026-05-01,10
gym_push_incline_dumbbell_press_reps_n_20260508,gym_push_incline_dumbbell_press_20260508,gym_push_incline_dumbbell_press,gym_push_incline_dumbbell_press_reps_n,2026-05-08,10
gym_push_shoulder_press_weight_kg_20260501,gym_push_shoulder_press_20260501,gym_push_shoulder_press,gym_push_shoulder_press_weight_kg,2026-05-01,45
gym_push_shoulder_press_weight_kg_20260508,gym_push_shoulder_press_20260508,gym_push_shoulder_press,gym_push_shoulder_press_weight_kg,2026-05-08,47.5
gym_push_shoulder_press_reps_n_20260501,gym_push_shoulder_press_20260501,gym_push_shoulder_press,gym_push_shoulder_press_reps_n,2026-05-01,8
gym_push_shoulder_press_reps_n_20260508,gym_push_shoulder_press_20260508,gym_push_shoulder_press,gym_push_shoulder_press_reps_n,2026-05-08,9
gym_push_chest_fly_weight_kg_20260501,gym_push_chest_fly_20260501,gym_push_chest_fly,gym_push_chest_fly_weight_kg,2026-05-01,18
gym_push_chest_fly_weight_kg_20260508,gym_push_chest_fly_20260508,gym_push_chest_fly,gym_push_chest_fly_weight_kg,2026-05-08,20
gym_push_chest_fly_reps_n_20260501,gym_push_chest_fly_20260501,gym_push_chest_fly,gym_push_chest_fly_reps_n,2026-05-01,12
gym_push_chest_fly_reps_n_20260508,gym_push_chest_fly_20260508,gym_push_chest_fly,gym_push_chest_fly_reps_n,2026-05-08,12
gym_pull_deadlift_weight_kg_20260502,gym_pull_deadlift_20260502,gym_pull_deadlift,gym_pull_deadlift_weight_kg,2026-05-02,140
gym_pull_deadlift_weight_kg_20260509,gym_pull_deadlift_20260509,gym_pull_deadlift,gym_pull_deadlift_weight_kg,2026-05-09,145
gym_pull_deadlift_reps_n_20260502,gym_pull_deadlift_20260502,gym_pull_deadlift,gym_pull_deadlift_reps_n,2026-05-02,5
gym_pull_deadlift_reps_n_20260509,gym_pull_deadlift_20260509,gym_pull_deadlift,gym_pull_deadlift_reps_n,2026-05-09,5
